id_cliente,genero,cidadao_senior,parceiro,dependentes,permanencia_meses,servico_telefone,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_streaming,filmes_streaming,contrato,fatura_sem_papel,metodo_pagamento,cobrancas_mensais,cobrancas_totais,evasao,ticket_medio,cliente_novo
7590-vhveg,feminino,0,sim,nao,1,nao,sem_servico_telefone,dsl,nao,sim,nao,nao,nao,nao,mensal,sim,cheque_eletronico,29.85,29.85,0,14.925,1
5575-gnvde,masculino,0,nao,nao,34,sim,nao,dsl,sim,nao,sim,nao,nao,nao,um_ano,nao,cheque_enviado,56.95,1889.5,0,53.98571428571429,0
3668-qpybk,masculino,0,nao,nao,2,sim,nao,dsl,sim,sim,nao,nao,nao,nao,mensal,sim,cheque_enviado,53.85,108.15,1,36.050000000000004,1
7795-cfocw,masculino,0,nao,nao,45,nao,sem_servico_telefone,dsl,sim,nao,sim,sim,nao,nao,um_ano,nao,transferencia_bancaria,42.3,1840.75,0,40.016304347826086,0
9237-hqitu,feminino,0,nao,nao,2,sim,nao,fibra_otica,nao,nao,nao,nao,nao,nao,mensal,sim,cheque_eletronico,70.7,151.65,1,50.550000000000004,1
9305-cdskc,feminino,0,nao,nao,8,sim,sim,fibra_otica,nao,nao,sim,nao,sim,sim,mensal,sim,cheque_eletronico,99.65,820.5,1,91.16666666666667,0
1452-kiovk,masculino,0,nao,sim,22,sim,sim,fibra_otica,nao,sim,nao,nao,sim,nao,mensal,sim,cartao_credito,89.1,1949.4,0,84.75652173913043,0
6713-okomc,feminino,0,nao,nao,10,nao,sem_servico_telefone,dsl,sim,nao,nao,nao,nao,nao,mensal,nao,cheque_enviado,29.75,301.9,0,27.44545454545454,0
7892-pookp,feminino,0,sim,nao,28,sim,sim,fibra_otica,nao,nao,sim,sim,sim,sim,mensal,sim,cheque_eletronico,104.8,3046.05,1,105.03620689655173,0
6388-tabgu,masculino,0,nao,sim,62,sim,nao,dsl,sim,sim,nao,nao,nao,nao,um_ano,nao,transferencia_bancaria,56.15,3487.95,0,55.364285714285714,0
9763-grskd,masculino,0,sim,sim,13,sim,nao,dsl,sim,nao,nao,nao,nao,nao,mensal,sim,cheque_enviado,49.95,587.45,0,41.96071428571429,0
7469-lkbci,masculino,0,nao,nao,16,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,dois_anos,nao,cartao_credito,18.95,326.8,0,19.223529411764705,0
8091-ttvax,masculino,0,sim,nao,58,sim,sim,fibra_otica,nao,nao,sim,nao,sim,sim,um_ano,nao,cartao_credito,100.35,5681.1,0,96.28983050847458,0
0280-xjgex,masculino,0,nao,nao,49,sim,sim,fibra_otica,nao,sim,sim,nao,sim,sim,mensal,sim,transferencia_bancaria,103.7,5036.3,1,100.726,0
5129-jlpis,masculino,0,nao,nao,25,sim,nao,fibra_otica,sim,nao,sim,sim,sim,sim,mensal,sim,cheque_eletronico,105.5,2686.05,0,103.3096153846154,0
3655-snqyz,feminino,0,sim,sim,69,sim,sim,fibra_otica,sim,sim,sim,sim,sim,sim,dois_anos,nao,cartao_credito,113.25,7895.15,0,112.78785714285713,0
8191-xwszg,feminino,0,nao,nao,52,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,um_ano,nao,cheque_enviado,20.65,1022.95,0,19.300943396226415,0
9959-wofkt,masculino,0,nao,sim,71,sim,sim,fibra_otica,sim,nao,sim,nao,sim,sim,dois_anos,nao,transferencia_bancaria,106.7,7382.25,0,102.53125,0
4190-mfluw,feminino,0,sim,sim,10,sim,nao,dsl,nao,nao,sim,sim,nao,nao,mensal,nao,cartao_credito,55.2,528.35,1,48.03181818181818,0
4183-myfrb,feminino,0,nao,nao,21,sim,nao,fibra_otica,nao,sim,sim,nao,nao,sim,mensal,sim,cheque_eletronico,90.05,1862.9,0,84.67727272727274,0
8779-qrdmv,masculino,1,nao,nao,1,nao,sem_servico_telefone,dsl,nao,nao,sim,nao,nao,sim,mensal,sim,cheque_eletronico,39.65,39.65,1,19.825,1
1680-vdcww,masculino,0,sim,nao,12,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,um_ano,nao,transferencia_bancaria,19.8,202.25,0,15.557692307692308,0
1066-jksgk,masculino,0,nao,nao,1,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,mensal,nao,cheque_enviado,20.15,20.15,1,10.075,1
3638-weabw,feminino,0,sim,nao,58,sim,sim,dsl,nao,sim,nao,sim,nao,nao,dois_anos,sim,cartao_credito,59.9,3505.1,0,59.40847457627118,0
6322-hrpfa,masculino,0,sim,sim,49,sim,nao,dsl,sim,sim,nao,sim,nao,nao,mensal,nao,cartao_credito,59.6,2970.3,0,59.406000000000006,0
6865-jznko,feminino,0,nao,nao,30,sim,nao,dsl,sim,sim,nao,nao,nao,nao,mensal,sim,transferencia_bancaria,55.3,1530.6,0,49.37419354838709,0
6467-chfzw,masculino,0,sim,sim,47,sim,sim,fibra_otica,nao,sim,nao,nao,sim,sim,mensal,sim,cheque_eletronico,99.35,4749.15,1,98.940625,0
8665-utdhz,masculino,0,sim,sim,1,nao,sem_servico_telefone,dsl,nao,sim,nao,nao,nao,nao,mensal,nao,cheque_eletronico,30.2,30.2,1,15.1,1
5248-ygijn,masculino,0,sim,nao,72,sim,sim,dsl,sim,sim,sim,sim,sim,sim,dois_anos,sim,cartao_credito,90.25,6369.45,0,87.2527397260274,0
8773-hhuoz,feminino,0,nao,sim,17,sim,nao,dsl,nao,nao,nao,nao,sim,sim,mensal,sim,cheque_enviado,64.7,1093.1,1,60.727777777777774,0
3841-nfecx,feminino,1,sim,nao,71,sim,sim,fibra_otica,sim,sim,sim,sim,nao,nao,dois_anos,sim,cartao_credito,96.35,6766.95,0,93.98541666666667,0
4929-xihvw,masculino,1,sim,nao,2,sim,nao,fibra_otica,nao,nao,sim,nao,sim,sim,mensal,sim,cartao_credito,95.5,181.65,0,60.550000000000004,1
6827-ieauq,feminino,0,sim,sim,27,sim,nao,dsl,sim,sim,sim,sim,nao,nao,um_ano,nao,cheque_enviado,66.15,1874.45,0,66.94464285714285,0
